WorldInfoId,EffectType,DebuffLevel,EffectInfoId
30001,10,0,70
30001,10,1,71
30001,10,2,72
30002,10,0,70
30002,10,1,71
30002,10,2,72
30002,10,3,73
30003,10,0,70
30003,10,1,71
30003,10,2,72
30003,10,3,73
30003,10,4,74
30004,10,0,70
30004,10,1,71
30004,10,2,72
30004,10,3,73
30004,10,4,74
30004,10,5,75
30005,10,0,70
30005,10,1,71
30005,10,2,72
30005,10,3,73
30005,10,4,74
30005,10,5,75
30005,10,6,76
30006,10,0,70
30006,10,1,71
30006,10,2,72
30006,10,3,73
30006,10,4,74
30006,10,5,75
30006,10,6,76
30006,10,7,77
30007,10,0,70
30007,10,1,71
30007,10,2,72
30007,10,3,73
30007,10,4,74
30007,10,5,75
30007,10,6,76
30007,10,7,77
30007,10,8,78
30008,10,0,70
30008,10,1,71
30008,10,2,72
30008,10,3,73
30008,10,4,74
30008,10,5,75
30008,10,6,76
30008,10,7,77
30008,10,8,78
30008,10,9,79
30009,10,0,70
30009,10,1,71
30009,10,2,72
30009,10,3,73
30009,10,4,74
30009,10,5,75
30009,10,6,76
30009,10,7,77
30009,10,8,78
30009,10,9,79
30009,10,10,80
