Id,Name,L10NOrder,L10NRegistrationDate,Untranslated
10100,Twilight Canyon,0521,2025-05-21 14:50:05,
10200,Ashen Remnants,0521,2025-05-21 14:50:05,
10300,Black Bay,0521,2025-05-21 14:50:05,
10400,Sunburst Passage,0521,2025-05-21 14:50:05,
10500,Impaled Plains,0521,2025-05-21 14:50:05,
10600,Umbral Grove,0521,2025-05-21 14:50:05,
10700,Barren Vale,0521,2025-05-21 14:50:05,
10800,Alabaster Dunes,0521,2025-05-21 14:50:05,
10900,Forgotten Ruins,0521,2025-05-21 14:50:05,
20100,Level,0521,2025-05-21 14:50:05,
20200,Bloodshape,0521,2025-05-21 14:50:05,
20300,Mounts,0521,2025-05-21 14:50:05,
20400,Artifacts,0521,2025-05-21 14:50:05,
20500,Black Market,0521,2025-05-21 14:50:05,
20600,Title,0521,2025-05-21 14:50:05,
11000,Citadel of Eternal Night - Zone 1,0521,2025-08-08 17:14:28,
12000,Citadel of Eternal Night - Zone 2,0521,2025-08-08 17:14:28,
10950,Silent Underground,0521,2025-12-02 19:09:53,
13000,Land of Eternity - Zone 3,0521,2025-12-15 12:50:37,
