Id,Name,L10NOrder,L10NRegistrationDate,Untranslated
1,Favorites,0521,2025-05-21 14:50:01,
2,Weapons,0521,2025-05-21 14:50:01,
3,Armor,0521,2025-05-21 14:50:01,
4,Accessories,0521,2025-05-21 14:50:01,
6,Materials,0521,2025-05-21 14:50:01,
7,Skill Book,0521,2025-05-21 14:50:01,
8,Consumables,0521,2025-05-21 14:50:01,
11,Collection,0521,2025-08-08 17:12:53,
10,Winter Holiday Coin,0521,2025-12-02 19:09:47,
12,2025-12-15 Registered,0521,2025-12-15 12:50:30,Name
13,2026-01-05 Registered,0521,2026-01-05 11:55:24,Name
