Id,Name,L10NOrder,L10NRegistrationDate,Untranslated
World,2025-12-15 Registered,0521,2025-12-15 12:50:18,Name
Waypoint,Blood Gate,0521,2025-12-15 12:50:18,
Area,Field,0521,2025-12-15 12:50:18,
FieldBoss,World Bosses,0521,2025-12-15 12:50:18,
ScenarioQuest,Main Quest,0521,2025-12-15 12:50:18,
SubQuest,Side Quests,0521,2025-12-15 12:50:18,
DailyQuest,Daily Quests,0521,2025-12-15 12:50:18,
GuideQuest,Guide Quest,0521,2025-12-15 12:50:18,
BloodlineQuest,Bloodline,0521,2025-12-15 12:50:18,
LocationMemory,Save Location,0521,2025-12-15 12:50:18,
PrivateMark,Mark,0521,2025-12-15 12:50:18,
Npc,Resident,0521,2025-12-15 12:50:18,
Lift,2025-12-15 Registered,0521,2025-12-15 12:50:18,Name
