GroupId,GroupName,L10NOrder,L10NRegistrationDate,Untranslated
100,ATK,0521,2025-05-21 16:11:00,
200,DEF,0521,2025-05-21 16:11:00,
300,HP,0521,2025-05-21 16:11:00,
400,ACC,0521,2025-05-21 16:11:00,
500,EVA,0521,2025-05-21 16:11:00,
600,Critical,0521,2025-05-21 16:11:00,
700,"Critical
Resistance",0521,2025-05-21 16:11:00,
800,"Skill
Cooldown
Time",0521,2025-05-21 16:11:00,
900,Speed,0521,2025-05-21 16:11:00,
1000,"Crowd Control
Resistance",0521,2025-05-21 16:11:00,
1100,"Status Effect
Resistance",0521,2025-05-21 16:11:00,
1200,Misc.,0521,2025-05-21 16:11:00,
1300,Cross Field,0521,2025-05-21 16:11:00,
