Id,Name,L10NOrder,L10NRegistrationDate,Untranslated
11000,Auto Combat,0521,2025-05-21 14:49:52,
12000,Obtain,0521,2025-05-21 14:49:52,
13000,Potions,0521,2025-05-21 14:49:52,
14000,Revive,0521,2025-05-21 14:49:52,
21000,Controls,0521,2025-05-21 14:49:52,
22000,Display,0521,2025-05-21 14:49:52,
23000,Effects,0521,2025-05-21 14:49:52,
32000,Graphics,0521,2025-05-21 14:49:52,
33000,Sound,0521,2025-05-21 14:49:52,
41000,Game Notifications,0521,2025-05-21 14:49:52,
42000,Push Notifications,0521,2025-05-21 14:49:52,
51000,Account,0521,2025-05-21 14:49:52,
