Id,Name,L10NOrder,L10NRegistrationDate,Untranslated
1001,Krvna,0521,2025-05-21 14:49:52,
1002,Poenari,0521,2025-05-21 14:49:52,
1003,Kicel,0521,2025-05-21 14:49:52,
5000,Epic Dungeon: Weeping Village,0521,2025-05-21 14:49:52,
2001,Krvna,0521,2025-05-21 14:49:52,
2002,Poenari,0521,2025-05-21 14:49:52,
2003,Kicel,0521,2025-05-21 14:49:52,
6000,Bloodline,0521,2025-05-21 14:49:52,
3001,Krvna,0521,2025-05-21 14:49:52,
3002,Poenari,0521,2025-05-21 14:49:52,
3003,Kicel,0521,2025-05-21 14:49:52,
6001,Bloodline,0521,2025-05-21 14:49:52,
9001,Guide,0521,2025-05-21 14:49:52,
1004,Bezdan,0521,2025-10-02 10:56:19,
2004,Bezdan,0521,2025-10-02 10:56:19,
3004,Bezdan,0521,2025-11-14 16:49:25,
