Id,Name,ScoreTypeName,L10NOrder,L10NRegistrationDate,Untranslated
10001,Level,,0521,2025-09-09 16:31:54,
15001,Battle Power,,0521,2025-09-09 16:31:54,
20001,Clans,,0521,2025-09-09 16:31:54,
40000,Overall,Overall Ranking Point,0521,2025-09-09 16:31:54,
40001,Summons,Summon Point,0521,2025-09-09 16:31:54,
40002,Raid,Raid Point,0521,2025-09-09 16:31:54,
40003,Black Market,Black Market Point,0521,2025-09-09 16:31:54,
40004,Enhance,Enhancement Point,0521,2025-09-09 16:31:54,
70001,"Jump into the Vast Battlefield!
Ranking Event",Ranking Mission Event,0521,2025-09-09 16:31:54,
70002,"Use it and become stronger!
Trinity Ranking Event",Ranking Mission Event,0521,2025-09-09 16:31:54,
25001,Clan Battle Power Ranking,,0521,2025-09-09 16:31:54,
70003,"Return Trinity
Ranking Event",Ranking Mission Event,0521,2025-11-13 10:53:34,
