Id,Name,L10NOrder,L10NRegistrationDate,Untranslated
101,Viper,0521,2025-05-21 14:50:05,
102,Grim Reaper,0521,2025-05-21 14:50:05,
103,Carnage,0521,2025-05-21 14:50:05,
104,Bloodstained,0521,2025-05-21 14:50:05,
201,Helm,0521,2025-05-21 14:50:05,
202,Body Armor,0521,2025-05-21 14:50:05,
203,Gloves,0521,2025-05-21 14:50:05,
204,Boots,0521,2025-05-21 14:50:05,
301,Necklace,0521,2025-05-21 14:50:05,
302,Earrings,0521,2025-05-21 14:50:05,
303,Ring,0521,2025-05-21 14:50:05,
304,Bracelet,0521,2025-05-21 14:50:05,
305,Belt,0521,2025-05-21 14:50:05,
401,Perfumes,0521,2025-05-21 14:50:05,
402,Goblets,0521,2025-05-21 14:50:05,
403,Fountain Pens,0521,2025-05-21 14:50:05,
