Id,Name,L10NOrder,L10NRegistrationDate,Untranslated
111,General,0521,2025-05-21 14:50:04,
112,Uncommon,0521,2025-05-21 14:50:04,
113,Rare,0521,2025-05-21 14:50:04,
114,Heroic,0521,2025-05-21 14:50:04,
115,Legendary,0521,2025-05-21 14:50:04,
116,Mythic,0521,2025-05-21 14:50:04,
201,General,0521,2025-05-21 14:50:04,
202,Uncommon,0521,2025-05-21 14:50:04,
203,Rare,0521,2025-05-21 14:50:04,
204,Heroic,0521,2025-05-21 14:50:04,
205,Legendary,0521,2025-05-21 14:50:04,
206,Mythic,0521,2025-05-21 14:50:04,
