Id,Name,L10NOrder,L10NRegistrationDate,Untranslated
10100,仄暗い渓谷,0521,2025-05-21 14:50:05,
10200,灰色の残墟,0521,2025-05-21 14:50:05,
10300,黒影湾,0521,2025-05-21 14:50:05,
10400,曙光街道,0521,2025-05-21 14:50:05,
10500,穿孔平原,0521,2025-05-21 14:50:05,
10600,黒い森林地,0521,2025-05-21 14:50:05,
10700,干からびた早瀬,0521,2025-05-21 14:50:05,
10800,白砂平原,0521,2025-05-21 14:50:05,
10900,忘れ去られた遺跡,0521,2025-05-21 14:50:05,
20100,レベル,0521,2025-05-21 14:50:05,
20200,血の形象,0521,2025-05-21 14:50:05,
20300,乗騎,0521,2025-05-21 14:50:05,
20400,アーティファクト,0521,2025-05-21 14:50:05,
20500,闇取引,0521,2025-05-21 14:50:05,
20600,爵位,0521,2025-05-21 14:50:05,
11000,永劫なる夜の砦 - 第1区域,0521,2025-08-08 17:14:28,
12000,永劫なる夜の砦 - 第2区域,0521,2025-08-08 17:14:28,
10950,沈黙の地下,0521,2025-12-02 19:09:53,
13000,永遠の地 - 第3区域,0521,2025-12-15 12:50:37,
