Id,Name,L10NOrder,L10NRegistrationDate,Untranslated
World,2025-12-15 Registered,0521,2025-12-15 12:50:18,Name
Waypoint,ブラッドゲート,0521,2025-12-15 12:50:18,
Area,フィールド,0521,2025-12-15 12:50:18,
FieldBoss,ワールドボス,0521,2025-12-15 12:50:18,
ScenarioQuest,メインクエスト,0521,2025-12-15 12:50:18,
SubQuest,サブクエスト,0521,2025-12-15 12:50:18,
DailyQuest,デイリークエスト,0521,2025-12-15 12:50:18,
GuideQuest,ガイドクエスト,0521,2025-12-15 12:50:18,
BloodlineQuest,ブラッドライン,0521,2025-12-15 12:50:18,
LocationMemory,位置保存,0521,2025-12-15 12:50:18,
PrivateMark,マーク,0521,2025-12-15 12:50:18,
Npc,住民,0521,2025-12-15 12:50:18,
Lift,2025-12-15 Registered,0521,2025-12-15 12:50:18,Name
