Id,Name,L10NOrder,L10NRegistrationDate,Untranslated
11000,自動戦闘,0521,2025-05-21 14:49:52,
12000,獲得,0521,2025-05-21 14:49:52,
13000,ポーション,0521,2025-05-21 14:49:52,
14000,復活,0521,2025-05-21 14:49:52,
21000,操作,0521,2025-05-21 14:49:52,
22000,表示,0521,2025-05-21 14:49:52,
23000,演出,0521,2025-05-21 14:49:52,
32000,グラフィック,0521,2025-05-21 14:49:52,
33000,サウンド,0521,2025-05-21 14:49:52,
41000,ゲーム通知,0521,2025-05-21 14:49:52,
42000,プッシュ通知,0521,2025-05-21 14:49:52,
51000,アカウント,0521,2025-05-21 14:49:52,
