Id,Name,L10NOrder,L10NRegistrationDate,Untranslated
1001,クルヴナ,0521,2025-05-21 14:49:52,
1002,ポエナリ,0521,2025-05-21 14:49:52,
1003,キセル,0521,2025-05-21 14:49:52,
5000,エピックダンジョン絶望の村,0521,2025-05-21 14:49:52,
2001,クルヴナ,0521,2025-05-21 14:49:52,
2002,ポエナリ,0521,2025-05-21 14:49:52,
2003,キセル,0521,2025-05-21 14:49:52,
6000,ブラッドライン,0521,2025-05-21 14:49:52,
3001,クルヴナ,0521,2025-05-21 14:49:52,
3002,ポエナリ,0521,2025-05-21 14:49:52,
3003,キセル,0521,2025-05-21 14:49:52,
6001,ブラッドライン,0521,2025-05-21 14:49:52,
9001,ガイド,0521,2025-05-21 14:49:52,
1004,ベズダン,0521,2025-10-02 10:56:19,
2004,ベズダン,0521,2025-10-02 10:56:19,
3004,ベズダン,0521,2025-11-14 16:49:25,
