Id,Name,ScoreTypeName,L10NOrder,L10NRegistrationDate,Untranslated
10001,レベル,,0521,2025-09-09 16:31:54,
15001,戦闘力,,0521,2025-09-09 16:31:54,
20001,クラン,,0521,2025-09-09 16:31:54,
40000,統合,統合ランキングスコア,0521,2025-09-09 16:31:54,
40001,召喚,召喚スコア,0521,2025-09-09 16:31:54,
40002,討伐,討伐スコア,0521,2025-09-09 16:31:54,
40003,闇取引,闇取引スコア,0521,2025-09-09 16:31:54,
40004,強化,強化スコア,0521,2025-09-09 16:31:54,
70001,"広大な戦場に飛び込め！
ランキングイベント",ランキングミッションイベント,0521,2025-09-09 16:31:54,
70002,"使って、強くなれ！
トリニティランキングイベント",ランキングミッションイベント,0521,2025-09-09 16:31:54,
25001,クラン戦闘力ランキング,,0521,2025-09-09 16:31:54,
70003,"リターントリニティ
ランキングイベント",ランキングミッションイベント,0521,2025-11-13 10:53:34,
