Id,Name,L10NOrder,L10NRegistrationDate,Untranslated
100001,올가의 은총,,,
1000104,계승자 패스 시즌1,,,
1000106,계승자 패스 시즌2,,,
1000107,계승자 패스 시즌3,,,
1000108,계승자 패스 시즌4,,,
1000109,계승자 패스 시즌5,,,
1000110,장비 상인의 금화 패스,,,
2000101,출시 기념 프리미엄 출석부,,,
2000102,부장품 프리미엄 출석부,,,
2000103,소환 플러스 프리미엄 출석부,,,
2000104,세피라 프리미엄 출석부,,,
2000105,만월의 밤 프리미엄 출석부,,,
2000106,소환 플러스 프리미엄 출석부,,,
2000107,혈계 진화 오픈 기념 프리미엄 출석부,,,
2000108,영웅 도전 프리미엄 출석부,,,
2000109,100일 기념 14일의 서약,,,
2000110,성탄의 밤 프리미엄 출석부,,,
2000111,[에노크] 14일 부스팅 출석부,,,
2000112,신년 맞이 7일의 서약,,,
