Id,Name,L10NOrder,L10NRegistrationDate,Untranslated
10011,선택받은 피,,,
10012,숨어든 지배자,,,
10013,검은 물 밑에서,,,
10014,서광의 위협,,,
10015,다시 일어나는 평원,,,
10016,어둠 속에 나 홀로,,,
10017,부정을 씻는 변이,,,
10018,실패작들,,,
10019,사라진 심장,,,
10020,위에서와 같이 아래에서도,,,
50000,에픽던전 절망의 마을 액트 제목,,,
20012,잿빛 잔허,,,
20013,검은 만,,,
20014,서광가도,,,
20015,꿰뚫린 평원,,,
20016,흑색 삼림지,,,
20017,메마른 여울목,,,
20018,백색 모래 평원,,,
20019,잊혀진 유적지,,,
20020,침묵의 지하,,,
60000,블러드라인,,,
30011,검은 만,,,
30021,서광가도,,,
30022,꿰뚫린 평원,,,
30023,흑색 삼림지,,,
30031,메마른 여울목,,,
30032,백색 모래 평원,,,
30033,잊혀진 유적지,,,
30041,침묵의 지하,,,
60001,블러드라인,,,
90001,가이드,,,
