Id,Type,Name,L10NOrder,L10NRegistrationDate,Untranslated
1,Real,올가,,,
3,Real,쉬마,,,
4,Real,오스카,,,
5,Real,다미르,,,
6,Real,모아르테,,,
7,Real,라즈비,,,
8,Real,포아메,,,
9,Real,돌링엔,,,
10,Real,키자이아,,,
11,Real,넬,,,
12,Real,밀라,,,
13,Real,릴리스,,,
14,Real,카인,,,
15,Real,리델,,,
16,Real,카프,,,
17,Real,던컨,,,
18,Real,에노크,,,
19,Real,스벤,,,
1,BuildQA,GamesQA,,,
3,BuildQA,NeoQA,,,
4,BuildQA,VTGamesQA,,,
5,BuildQA,VTNeoQA,,,
1,CdnQA,CDNGames1Group,,,
3,CdnQA,CDNNeo1Group,,,
4,CdnQA,CDNVT1Group,,,
5,CdnQA,CDNGames2Group,,,
6,CdnQA,CDNNeo2Group,,,
7,CdnQA,CDNVT2Group,,,
