Id,Name,L10NOrder,L10NRegistrationDate,Untranslated
10100,朦朧峽谷,0521,2025-05-21 14:50:05,
10200,暗灰廢墟,0521,2025-05-21 14:50:05,
10300,黑灣,0521,2025-05-21 14:50:05,
10400,曙光大道,0521,2025-05-21 14:50:05,
10500,貫刺平原,0521,2025-05-21 14:50:05,
10600,黑色林地,0521,2025-05-21 14:50:05,
10700,乾涸濕地,0521,2025-05-21 14:50:05,
10800,白沙平原,0521,2025-05-21 14:50:05,
10900,被遺忘的遺跡,0521,2025-05-21 14:50:05,
20100,等級,0521,2025-05-21 14:50:05,
20200,血之型態,0521,2025-05-21 14:50:05,
20300,坐騎,0521,2025-05-21 14:50:05,
20400,神器,0521,2025-05-21 14:50:05,
20500,黑市交易,0521,2025-05-21 14:50:05,
20600,爵位,0521,2025-05-21 14:50:05,
11000,永恆之夜的城堡 - 區域 1,0521,2025-08-08 17:14:28,
12000,永恆之夜的城堡 - 區域 2,0521,2025-08-08 17:14:28,
10950,沉默的地下,0521,2025-12-02 19:09:53,
13000,永恆之地 - 區域 3,0521,2025-12-15 12:50:37,
