Id,Name,L10NOrder,L10NRegistrationDate,Untranslated
101,Ⅰ,0521,2025-05-21 14:50:05,
102,Ⅱ,0521,2025-05-21 14:50:05,
103,Ⅲ,0521,2025-05-21 14:50:05,
104,Ⅳ,0521,2025-05-21 14:50:05,
201,Ⅰ,0521,2025-05-21 14:50:05,
202,Ⅱ,0521,2025-05-21 14:50:05,
203,Ⅲ,0521,2025-05-21 14:50:05,
204,Ⅳ,0521,2025-05-21 14:50:05,
301,Ⅰ,0521,2025-05-21 14:50:05,
302,Ⅱ,0521,2025-05-21 14:50:05,
303,Ⅲ,0521,2025-05-21 14:50:05,
304,Ⅳ,0521,2025-05-21 14:50:05,
401,Ⅰ,0521,2025-05-21 14:50:05,
402,Ⅱ,0521,2025-05-21 14:50:05,
403,Ⅲ,0521,2025-05-21 14:50:05,
404,Ⅳ,0521,2025-05-21 14:50:05,
501,Ⅰ,0521,2025-05-21 14:50:05,
502,Ⅱ,0521,2025-05-21 14:50:05,
503,Ⅲ,0521,2025-05-21 14:50:05,
504,Ⅳ,0521,2025-05-21 14:50:05,
601,Ⅰ,0521,2025-12-15 12:50:37,
602,Ⅱ,0521,2025-12-15 12:50:37,
603,Ⅲ,0521,2025-12-15 12:50:37,
604,Ⅳ,0521,2025-12-15 12:50:37,
