Id,Name,L10NOrder,L10NRegistrationDate,Untranslated
World,2025-12-15 Registered,0521,2025-12-15 12:50:18,Name
Waypoint,血之關口,0521,2025-12-15 12:50:18,
Area,原野,0521,2025-12-15 12:50:18,
FieldBoss,世界首領,0521,2025-12-15 12:50:18,
ScenarioQuest,主線委託,0521,2025-12-15 12:50:18,
SubQuest,支線委託,0521,2025-12-15 12:50:18,
DailyQuest,每日委託,0521,2025-12-15 12:50:18,
GuideQuest,指南委託,0521,2025-12-15 12:50:18,
BloodlineQuest,血脈,0521,2025-12-15 12:50:18,
LocationMemory,記憶位置,0521,2025-12-15 12:50:18,
PrivateMark,標記,0521,2025-12-15 12:50:18,
Npc,居民,0521,2025-12-15 12:50:18,
Lift,2025-12-15 Registered,0521,2025-12-15 12:50:18,Name
