GroupId,GroupName,L10NOrder,L10NRegistrationDate,Untranslated
100,攻擊,0521,2025-05-21 16:11:00,
200,防禦,0521,2025-05-21 16:11:00,
300,HP,0521,2025-05-21 16:11:00,
400,命中,0521,2025-05-21 16:11:00,
500,迴避,0521,2025-05-21 16:11:00,
600,致命一擊,0521,2025-05-21 16:11:00,
700,"致命一擊
抵抗",0521,2025-05-21 16:11:00,
800,"技能
冷卻
時間",0521,2025-05-21 16:11:00,
900,速度,0521,2025-05-21 16:11:00,
1000,"群體控制
抵抗",0521,2025-05-21 16:11:00,
1100,"異常狀態
抵抗",0521,2025-05-21 16:11:00,
1200,其他,0521,2025-05-21 16:11:00,
1300,十字原野,0521,2025-05-21 16:11:00,
