Id,Name,L10NOrder,L10NRegistrationDate,Untranslated
1001,克爾布納,0521,2025-05-21 14:49:52,
1002,波耶納里,0521,2025-05-21 14:49:52,
1003,齊賽爾,0521,2025-05-21 14:49:52,
5000,史詩副本絕望村,0521,2025-05-21 14:49:52,
2001,克爾布納,0521,2025-05-21 14:49:52,
2002,波耶納里,0521,2025-05-21 14:49:52,
2003,齊賽爾,0521,2025-05-21 14:49:52,
6000,血脈,0521,2025-05-21 14:49:52,
3001,克爾布納,0521,2025-05-21 14:49:52,
3002,波耶納里,0521,2025-05-21 14:49:52,
3003,齊賽爾,0521,2025-05-21 14:49:52,
6001,血脈,0521,2025-05-21 14:49:52,
9001,指南,0521,2025-05-21 14:49:52,
1004,貝茲丹,0521,2025-10-02 10:56:19,
2004,貝茲丹,0521,2025-10-02 10:56:19,
3004,貝茲丹,0521,2025-11-14 16:49:25,
