Id,Name,L10NOrder,L10NRegistrationDate,Untranslated
101,毒蛇,0521,2025-05-21 14:50:05,
102,死神,0521,2025-05-21 14:50:05,
103,狂屠,0521,2025-05-21 14:50:05,
104,血痕,0521,2025-05-21 14:50:05,
201,頭盔,0521,2025-05-21 14:50:05,
202,盔甲,0521,2025-05-21 14:50:05,
203,手套,0521,2025-05-21 14:50:05,
204,鞋子,0521,2025-05-21 14:50:05,
301,項鍊,0521,2025-05-21 14:50:05,
302,耳環,0521,2025-05-21 14:50:05,
303,戒指,0521,2025-05-21 14:50:05,
304,手環,0521,2025-05-21 14:50:05,
305,腰帶,0521,2025-05-21 14:50:05,
401,香水,0521,2025-05-21 14:50:05,
402,高腳杯,0521,2025-05-21 14:50:05,
403,鋼筆,0521,2025-05-21 14:50:05,
